Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-931.5429	-1042.702	111.1589	1.092045	5.437766	0.8563445
6	-920.3114	-1032.415	112.1038	0.8991716	1.854676	1.429842
12	-919.2935	-1030.959	111.6653	0.9141726	2.671143	1.418862
18	-934.1668	-1046.079	111.9126	0.8046273	3.394914	1.043345
24	-927.8545	-1040.22	112.3658	1.195857	1.860479	0.9378346
30	-936.382	-1049.016	112.6338	1.016945	1.493361	1.094431
36	-933.2325	-1045.703	112.4708	0.9984235	1.493361	1.252767
42	-926.7696	-1038.566	111.7965	1.074038	3.096689	1.009943
48	-933.1105	-1044.801	111.69	0.9649285	3.984124	0.8876218
54	-910.6214	-1022.191	111.5694	1.512782	3.349157	0.5456087
60	-913.4559	-1025.165	111.7092	1.323036	3.229271	0.7597075
66	-911.7359	-1023.618	111.8823	1.350568	2.649436	0.827854
72	-912.4962	-1024.631	112.1348	1.152123	2.649436	0.7544023
78	-913.0738	-1025.457	112.3832	1.12436	1.651296	1.123015
84	-905.4041	-1017.681	112.2769	1.12436	1.777327	1.143394
90	-904.2556	-1015.752	111.4959	0.8872068	4.024084	1.143394
96	-907.2212	-1019.074	111.853	0.827813	3.155129	1.163543
102	-914.2889	-1026.284	111.995	0.5032745	2.356801	1.594963
108	-920.8738	-1032.823	111.9492	0.7889741	2.267718	1.451061
114	-920.6371	-1032.239	111.6017	0.8972001	2.847893	1.419106
120	-922.1816	-1034.076	111.8939	0.7299783	2.576744	1.419106
126	-919.686	-1031.167	111.4809	0.7501301	2.78922	1.637795
132	-914.0114	-1026.089	112.0773	0.8204299	2.11623	1.391735
138	-912.1697	-1024.326	112.1562	0.7394016	1.80516	1.534416
144	-905.3049	-1017.034	111.7294	0.7184148	3.4646	1.258525
150	-907.489	-1019.158	111.6695	1.068588	3.529273	0.9721774
156	-916.4995	-1028.62	112.1208	0.9808646	2.388156	1.098994
162	-917.5433	-1029.088	111.5452	0.8153902	3.834644	1.219099
168	-917.1648	-1029.176	112.0115	0.883498	2.907774	1.06382
174	-915.8589	-1027.06	111.2006	0.9225476	2.907774	1.677413
180	-920.495	-1032.546	112.0511	0.9225476	3.105738	0.897483
186	-922.8093	-1034.289	111.4794	0.7997649	3.638691	1.343132
192	-924.7868	-1036.779	111.9927	0.7340916	1.639322	1.734959
198	-920.7149	-1032.373	111.6581	0.57713	2.490078	1.734959
204	-907.6173	-1019.163	111.5456	1.528223	3.379543	0.485229
210	-904.2983	-1016.259	111.9607	1.528223	2.431734	0.5247088
216	-914.2777	-1025.892	111.6148	1.528223	3.142185	0.6218983
222	-908.9784	-1020.824	111.8458	1.608651	2.498446	0.5360824
228	-909.119	-1021.633	112.5141	1.066233	1.914566	0.8801787
234	-912.9388	-1023.882	110.9428	1.107492	5.286927	1.103422
240	-908.4465	-1020.818	112.3718	1.184958	1.933254	0.8942204
246	-904.7072	-1016.76	112.0532	1.163685	2.566757	0.89382
252	-903.8854	-1015.71	111.825	1.163685	3.361709	0.7469117
258	-905.7738	-1017.141	111.3675	0.7541954	3.361709	1.5433
264	-904.4403	-1016.469	112.0288	0.8147143	2.725823	1.183507
270	-906.8986	-1018.057	111.1586	1.087867	5.499781	0.8421365
276	-918.6075	-1029.66	111.0523	1.169596	5.499781	0.8716496
282	-917.1465	-1029.424	112.2774	1.041601	2.050462	1.066878
288	-913.6799	-1025.317	111.6374	1.023414	3.75179	0.9684732
294	-921.5007	-1032.86	111.3593	1.11346	4.313482	0.9684732
300	-924.7015	-1035.528	110.8263	1.06864	5.331544	1.229045
306	-908.9551	-1021.057	112.1018	1.085156	2.728799	0.8392577
312	-921.8014	-1032.482	110.6805	0.5547858	4.993045	1.794313
318	-919.5927	-1031.325	111.7326	0.4491002	2.252578	1.856489
324	-919.4492	-1030.565	111.1158	0.5435698	3.41528	1.856489
330	-912.412	-1024.486	112.0739	0.9577333	2.694785	1.024434
336	-917.6597	-1029.313	111.653	0.8557593	3.102867	1.325476
342	-913.4671	-1024.533	111.0654	0.5672467	2.655007	2.089594
348	-918.4359	-1030.154	111.7181	0.6803138	2.620218	1.572881
354	-920.4032	-1032.41	112.0072	0.6236112	2.211605	1.554075
360	-924.4277	-1035.617	111.1888	0.757137	2.531624	1.920146
366	-927.6306	-1038.287	110.6565	0.757137	4.364585	1.799822
372	-918.342	-1029.975	111.6333	0.6399073	2.800396	1.60364
378	-927.328	-1038.506	111.1779	1.080788	4.279448	1.179403
384	-915.682	-1027.177	111.495	0.8955274	3.974683	1.151613
390	-921.5008	-1033.49	111.9891	0.8856473	3.247582	0.9427482
396	-918.8403	-1031.116	112.2761	1.136322	2.105251	0.9427482
402	-919.2047	-1030.877	111.6725	1.046223	3.868707	0.8591096
408	-922.5343	-1034.182	111.6476	0.9201406	3.868707	1.020821
414	-927.3191	-1038.877	111.5577	0.9922514	4.189697	0.9287273
420	-921.5484	-1033.233	111.6844	0.8227985	3.22012	1.288028
426	-921.2645	-1032.746	111.4817	0.8476833	3.774653	1.262852
432	-916.4898	-1028.117	111.6275	0.8513166	2.734894	1.473277
438	-921.4584	-1032.839	111.3808	0.6105647	4.016582	1.464199
444	-916.0137	-1027.779	111.7657	0.7907133	2.281886	1.581103
450	-913.9775	-1025.136	111.1584	0.8075832	3.479434	1.624188
456	-911.161	-1023.099	111.9385	0.84284	2.694887	1.248473
462	-921.9307	-1033.154	111.2231	0.7209369	3.408224	1.659393
468	-926.8194	-1038.689	111.8696	0.7907472	3.408224	1.092065
474	-923.0717	-1035.053	111.9808	1.222176	2.209877	1.092065
480	-915.9606	-1028.797	112.8366	1.021767	1.424765	0.9406565
486	-915.7423	-1027.368	111.6258	0.9774998	3.045929	1.267825
492	-924.4438	-1036.008	111.5643	1.591189	3.173952	0.4918179
498	-917.2162	-1029.004	111.7883	1.478815	2.908262	0.4885693
504	-922.7062	-1034.502	111.796	1.46927	2.843855	0.6337586
510	-915.9145	-1027.457	111.5429	1.415424	3.600984	0.6389268
516	-914.6588	-1025.754	111.0954	1.803983	3.603977	0.3163199
522	-912.7368	-1023.621	110.8845	1.803983	4.2639	0.329669
528	-917.3356	-1028.832	111.4966	1.803983	2.627914	0.3134412
534	-921.2827	-1032.106	110.8234	1.867298	4.200827	0.3134412
540	-919.768	-1030.031	110.2626	1.891012	6.006718	0.287001
546	-918.525	-1029.455	110.9295	1.856245	3.800364	0.2839429
552	-919.6455	-1029.911	110.2656	1.877493	5.905615	0.2653837
558	-920.2277	-1031.204	110.9763	1.877493	3.642877	0.2919527
564	-919.6215	-1031.428	111.8063	1.729799	2.327107	0.4414555
570	-928.8884	-1041.286	112.3976	1.375462	1.709728	0.8027419
576	-924.152	-1035.35	111.1983	0.9603462	3.497734	1.476821
582	-912.268	-1023.91	111.6417	0.8197398	2.565337	1.545798
